lat,lon
47.309187,-122.374959
47.383049,-122.287926
47.724537,-122.094898
47.566058,-122.375104
47.2733871,-122.2507488
47.4573205,-122.0238492
47.738611,-122.234861
47.622636,-122.292321
47.615753,-122.29101
47.36609,-122.290044
47.764153,-122.048477
47.409817,-122.189044
47.688776,-122.128081
47.586048,-122.120199
47.687533,-122.038096
47.353024,-122.293851
47.448176,-122.209314
47.7263569,-122.3148607
47.6122939,-122.0578738
47.4629206,-122.3408418
47.4346766,-122.1947956
47.451334,-122.119041
47.685196,-122.37818
47.342214,-122.052965
47.488601,-121.783858
47.646212,-122.191293
47.589011,-121.983293
47.5913237,-122.1477423
47.665891,-122.050259
47.3458596,-121.9483789
47.339586,-121.921441
47.7192589,-122.31999
47.336638,-122.335251
47.772738,-121.897288
47.351557,-122.05713
47.4830376,-122.1561885
47.5846574,-122.2230038
47.698837,-122.320047
47.742987,-122.131009
47.7001219,-122.3089901
47.437939,-122.191903
47.5796878,-122.3910664
47.767836,-122.237333
47.7040439,-122.3470865
47.69737,-122.350262
47.627876,-121.898098
47.5370806,-121.9818089
47.6984765,-122.3671152
47.505225,-122.371832
47.3843607,-121.9917961
47.676738,-122.350213
47.413896,-122.208079
47.5491174,-122.386902
47.610683,-122.30992
47.553401,-122.382018
47.656176,-122.005144
47.659656,-122.290069
47.55206,-121.997863
47.629407,-122.218139
47.6192028,-122.3009497
47.753538,-122.313739
47.518823,-122.37586
47.577889,-122.246126
47.294713,-122.085894
47.6445005,-122.1671702
47.5727463,-122.3719212
47.62154,-122.224224
47.565992,-122.228523
47.719085,-121.912256
47.563264,-122.288799
47.54445,-122.119985
47.696345,-122.400066
47.671793,-122.328922
47.496292,-122.2627
47.372652,-122.05118
47.5303376,-122.3529908
47.5799612,-122.3997719
47.455593,-122.180781
47.607246,-122.015093
47.770398,-122.065688
47.287433,-122.192407
47.447947,-122.119991
47.5166832,-122.2681095
47.692031,-122.184145
47.615712,-122.289955
47.691875,-122.308005
47.7003276,-122.1110549
47.48672,-122.3201665
47.664159,-122.1849086
47.53915,-122.228001
47.563884,-122.215912
47.365133,-122.051241
47.6717785,-122.3819312
47.324178,-122.143907
47.6968345,-122.0250456
47.660672,-122.334686
47.734804,-122.307352
47.5629113,-122.0385201
47.536762,-122.066962
47.7127696,-122.3060809
47.605426,-122.313794
47.767743,-122.162881
37.542171,-92.963378
47.336258,-122.311188
47.519543,-122.391152
47.6760579,-122.1204884
47.4378783,-122.335988
47.673074,-122.327091
47.626439,-122.283048
47.63955,-122.210852
47.6412676,-122.3571959
47.729594,-122.359197
47.728399,-122.216127
47.484002,-122.196664
47.55227,-122.119084
47.456505,-122.350316
47.664576,-122.36493
47.672583,-122.370972
47.527173,-122.228331
47.3978643,-122.4654642
47.649309,-122.401363
47.599137,-122.199922
47.5505468,-122.3811721
47.5873131,-122.3859253
47.685946,-122.335955
47.69658,-122.13261
47.349658,-122.042051
47.685843,-122.2010395
47.436905,-122.110996
47.6768126,-122.1507576
47.606625,-122.304656
47.633383,-122.021149
47.759643,-122.078936
47.553431,-122.0019809
47.743311,-122.259244
47.309147,-122.371845
47.7193295,-122.0219677
47.770254,-122.3426
47.4939981,-122.1649576
47.3726392,-122.1770299
47.682771,-122.387977
47.5463025,-122.0875324
47.587726,-122.157165
47.60103,-122.121709
47.687551,-122.29789
47.671424,-122.154724
47.509993,-122.3273669
47.557554,-122.316852
47.645818,-122.21922
47.371855,-122.215107
47.737629,-121.977095
47.6226479,-122.3227434
47.2739867,-122.2707191
47.6156235,-122.2998298
47.627209,-122.095052
47.4586906,-122.1170416
47.536769,-122.264945
47.6027776,-122.2852168
47.5328306,-122.2719888
47.6981725,-122.349018
